name,kind,address,when,oldaddress,howmany,giftcard,restroom,parking,whenopen
중앙시장,상설,대구광역시 북구 태전로 15,상설,대구 북구 태전동 156-1,30,온누리상품권,Y,Y,1997,
팔달시장,상설,대구광역시 북구 팔달로 37길 11,상설,대구 북구 노원2가 375,128,,Y,N,,
서변중앙시장,상설+정기,대구광역시 북구 호국로 43길 27,5일,대구 북구 서변동 1751,67,온누리상품권,Y,N,2009,
서구시장,상설,대구광역시 서구 면리동 1085-1,상설,대구 서구 평리동 1085-1,64,온누리상품권,Y,N,2011,
수성현대시장,상설,대구광역시 수성구 수성1가 649-76,상설,대구 수성구 수성동1가 649-76,41,온누리상품권,Y,Y,1983,
수성시장,상설,대구광역시 수성구 수성2가 39-3,상설,대구 수성구 수성동2가 39-4,104,온누리상품권,Y,Y,2012,
"지산목련시장(구,지산종합시장)",상설,대구광역시 수성구 지산동 1199-10,상설,대구 수성구 지산동 1199-10,66,온누리상품권,Y,Y,1963,
황금시장,상설,대구광역시 수성구 황금동 764,상설,대구 수성구 황금동 764,29,온누리상품권,Y,Y,1981,
중앙시장,상설,대구광역시 중구 경상감영길 101,상설,대구 중구 포정동 21-3 ,44,,Y,Y,1973,
교동시장활성화구역,상설,대구광역시 중구 교동길 40,상설,대구 중구 교동 67-12,828,온누리상품권,Y,N,2010,
동부시장,상설,대구광역시 중구 국채보상로 749,상설,대구 중구 동인동 470-2 ,83,온누리상품권,Y,N,1975,
염매시장,상설,대구광역시 중구 남성로 48(덕산동),상설,대구 중구 덕산동 38 ,104,온누리상품권,Y,N,2012,
방천시장,상설,대구광역시 중구 달구,상설,대구 중구 대봉동 12-37 일대 ,81,온누리상품권,Y,N,2011,
서문시장제1지구포목시장,상설,대구광역시 중구 대신동 큰장로 28길 10,상설,대구 중구 대신동 115-379 ,281,온누리상품권,Y,N,2005,
남문시장,상설,대구광역시 중구 명륜로 70,상설,대구 중구 남산동 698-22,157,온누리상품권,Y,N,2011,
서문시장5지구,상설,대구광역시 중구 큰장로 26길 6(대신동 115-400),상설,대구 중구 대신동 115-400 ,467,온누리상품권,Y,N,1977,
서문시장제1지구직물시장,상설,대구광역시 중구 큰장로 28길 10,상설,대구 중구 대신동 115-379 ,250,온누리상품권,Y,N,1974,
