name,kind,address,when,oldaddress,howmany,giftcard,restroom,parking,whenopen
천안공설시장,상설+정기,충청남도 천안시 동남구 대흥동 60-5,5일,충남 천안시 대흥동 63-3번지,113,온누리상품권,Y,Y,2006,
중앙시장,상설,충청남도 천안시 동남구 대흥로 57,상설,충남 천안시 사직동 6-3,85,온누리상품권,Y,Y,2013,
병천시장,상설+정기,충청남도 천안시 동남구 병천면 병천리 163-2,5일,충남 천안시 병천면 병천리 163-2번지,164,,Y,Y,1918,
남산중앙시장,상설+정기,충청남도 천안시 동남구 사직동 263,5일,충남 천안시 사직동 202-15,213,온누리상품권,Y,Y,1920,
천일시장,상설,충청남도 천안시 동남구 큰시장길 29,상설,충남 천안시 사직동 33,79,온누리상품권,Y,N,1973,
성정5단지시장,상설,충청남도 천안시 서북구 성정로 78원,상설,충남 천안시 성정동 727-1번지,56,온누리상품권,Y,Y,2007,
성환이화시장,상설+정기,충청남도 천안시 서북구 성환읍 성환3리 449-135,5일,충남 천안시 성환읍 성환리 449-135번지,60,온누리상품권,Y,N,2013,
